ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
0.206605,2.86996,17.9096,1389.62,6393.08,245.488,0.0011418,0.0249212,423.879,31.4924,1.15284,15.6356,315.773,19.5647,0.204212,0.602191,2.02556,6.02728,60.5396,0.409323,122.223,0.185978,27.8121,7.16891,3.07731,11.2173,0.201422,0.880818,0.0299916,3.08535,1.60917,1.00708,4.18617,262.053
0.204093,2.88791,17.9982,1409.62,6311.77,245.28,0.00113816,0.0248442,426.092,31.216,1.15216,15.6581,315.374,19.3556,0.2035,0.604442,2.00864,6.0288,60.4731,0.408278,122.746,0.186022,27.6554,7.20061,3.08474,11.2061,0.202164,0.886534,0.0299925,3.08218,1.60117,1.0047,4.18417,261.234
0.202512,2.85442,17.879,1381.79,6388.27,243.637,0.00112571,0.0246671,424.879,30.913,1.14994,15.6389,316.082,19.2987,0.202529,0.603501,2.00049,5.96771,60.4251,0.404812,121.264,0.184625,27.5198,7.20582,3.06283,11.2143,0.201879,0.87889,0.0297531,3.05273,1.59723,1.01254,4.15377,260.807
0.20402,2.88293,17.7209,1421.9,6283.95,244.472,0.00113799,0.0248918,423.865,30.8531,1.15642,15.6256,315.729,19.3895,0.203015,0.60652,2.01876,5.99472,60.5296,0.406368,121.427,0.185095,27.6371,7.24873,3.06587,11.2254,0.201548,0.872693,0.0298488,3.07373,1.59165,1.00152,4.15852,261.572
0.203067,2.85951,17.6391,1471.4,6300.85,243.978,0.00113165,0.0248412,422.889,31.1433,1.15397,15.6106,315.039,19.3845,0.202941,0.596291,1.99308,5.98747,60.4288,0.405443,121.252,0.184452,27.5982,7.19697,3.05964,11.2075,0.201798,0.876493,0.0296955,3.06789,1.58935,1.00612,4.15732,261.502
0.201485,2.81625,17.5855,1422.73,6384.91,243.169,0.00113292,0.0248543,421.925,30.6651,1.15245,15.6046,316.58,19.4157,0.203516,0.590652,1.9904,5.96553,60.3545,0.404467,121.367,0.183787,27.3646,7.20573,3.05348,11.226,0.20154,0.874488,0.0293133,3.07144,1.58268,1.01937,4.15717,260.824
0.201485,2.81625,17.5855,1422.73,6384.91,243.169,0.00113292,0.0248543,421.925,30.6651,1.15245,15.6046,316.58,19.4157,0.203516,0.590652,1.9904,5.96553,60.3545,0.404467,121.367,0.183787,27.3646,7.20573,3.05348,11.226,0.20154,0.874488,0.0293133,3.07144,1.58268,1.01937,4.15717,260.824
0.205872,2.91164,17.8251,1296.71,6627.66,247.496,0.00114307,0.0253728,427.462,31.3408,1.15343,15.6833,317.585,19.5017,0.205905,0.591929,2.04023,6.05596,60.9418,0.411586,122.447,0.188015,27.7384,7.29401,3.1189,11.2679,0.202792,0.876521,0.029768,3.1344,1.59435,1.02035,4.22469,263.687
0.207894,2.91717,17.9197,1323.3,6493.84,250.972,0.00116795,0.0257941,427.883,31.5426,1.16124,15.7243,317.896,19.8385,0.208016,0.594957,2.06625,6.15861,61.1924,0.418803,122.234,0.189251,28.0573,7.33449,3.18443,11.2474,0.203324,0.885866,0.0303991,3.18035,1.62064,1.00704,4.27461,265.62
0.207894,2.91717,17.9197,1323.3,6493.84,250.972,0.00116795,0.0257941,427.883,31.5426,1.16124,15.7243,317.896,19.8385,0.208016,0.594957,2.06625,6.15861,61.1924,0.418803,122.234,0.189251,28.0573,7.33449,3.18443,11.2474,0.203324,0.885866,0.0303991,3.18035,1.62064,1.00704,4.27461,265.62
0.209529,2.89362,17.866,1350.67,6424.22,249.44,0.00116941,0.025624,428.562,31.6079,1.16233,15.6555,316.43,19.7631,0.207984,0.597693,2.04193,6.185,60.9226,0.416046,122.276,0.191968,27.8114,7.30277,3.13848,11.2592,0.202883,0.880698,0.0304547,3.17212,1.61205,1.00554,4.25227,264.713
0.207513,2.87323,17.8618,1309.84,6520.16,248.208,0.00115898,0.0253789,428.762,31.3499,1.1597,15.631,316.684,19.7266,0.206988,0.592009,2.03104,6.17144,60.8535,0.413435,122.091,0.189265,27.6235,7.29652,3.14093,11.2362,0.202093,0.884098,0.030442,3.15643,1.60256,1.01285,4.21961,263.628
0.207643,2.88318,17.8856,1330.71,6442.21,249.59,0.00116247,0.0255254,433.458,31.7077,1.15934,15.6479,316.526,19.9887,0.208222,0.58871,2.04096,6.2312,60.9495,0.415616,123.904,0.190908,27.7771,7.30244,3.12924,11.2554,0.20288,0.889338,0.0305962,3.17207,1.61533,1.00621,4.22743,263.771
0.206177,2.86338,17.9796,1320.8,6475.86,249.031,0.00116509,0.0254755,435.616,31.6096,1.15568,15.6397,316.67,19.9472,0.207218,0.582046,2.02481,6.22831,60.9592,0.41562,124.298,0.190578,27.787,7.32124,3.15286,11.2338,0.202531,0.892013,0.0305113,3.1611,1.61197,1.00891,4.22347,265.779
0.207095,2.88367,17.9702,1325.2,6485.82,249.526,0.0011664,0.0255966,435.325,31.7156,1.15526,15.6502,317.101,19.9677,0.206197,0.57683,2.02918,6.24421,60.8998,0.415018,125.056,0.192229,27.9073,7.33738,3.15985,11.2516,0.20271,0.893718,0.0305866,3.17271,1.61744,1.01035,4.23385,266.588
0.207514,2.86501,17.9616,1374.21,6384.67,249.277,0.00116151,0.025571,436.044,31.6841,1.15996,15.6357,315.87,19.8186,0.206176,0.580912,2.02138,6.24247,60.8034,0.415337,123.573,0.19111,27.8718,7.32631,3.15676,11.1945,0.202372,0.888564,0.030592,3.18959,1.61603,1.00309,4.22594,266.698
0.20677,2.8545,17.9793,1352.68,6489.44,248.354,0.00115384,0.0253475,437.125,31.4049,1.15825,15.6124,316.368,19.7408,0.205711,0.581893,2.02787,6.25951,60.831,0.415642,124.231,0.190464,27.8106,7.30528,3.14519,11.1898,0.202387,0.882605,0.0305708,3.16675,1.62924,1.02081,4.21003,265.899
0.206344,2.84938,17.9064,1341.93,6481.19,247.87,0.00114854,0.0253622,441.507,31.3116,1.15703,15.6046,316.399,19.7037,0.206517,0.576892,2.0095,6.26962,60.8737,0.414367,123.807,0.18996,27.8412,7.28922,3.13918,11.2003,0.202583,0.878777,0.0304212,3.16151,1.61228,1.01363,4.20654,265.642
0.207532,2.86562,17.9996,1339.78,6479.16,249.354,0.00115397,0.0255772,443.528,31.6631,1.16192,15.6259,315.87,19.94,0.207655,0.57477,2.01731,6.35733,60.8613,0.416254,124.046,0.191949,27.9485,7.31826,3.22035,11.2165,0.202726,0.886372,0.0305593,3.18627,1.63419,1.01051,4.22587,265.833
0.207242,2.89161,17.9443,1337.34,6481.47,249.735,0.00115604,0.0256734,455.643,31.7448,1.15247,15.6079,315.897,19.959,0.206958,0.573934,2.00866,6.35981,60.9552,0.415659,124.446,0.191786,27.9569,7.35082,3.1678,11.2042,0.202882,0.890011,0.0305989,3.16694,1.62869,1.00827,4.23727,267.427
0.207242,2.89161,17.9443,1337.34,6481.47,249.735,0.00114547,0.0256734,443.992,31.7448,1.15247,15.6079,315.897,19.959,0.206958,0.573934,2.00866,6.35981,60.8549,0.415876,123.671,0.189984,27.9569,7.35082,3.1678,11.2042,0.202473,0.890011,0.0305256,3.16694,1.62869,1.00469,4.23727,267.427
0.206292,2.88846,17.9376,1361.6,6453.55,248.571,0.00114661,0.0256168,440.719,31.5887,1.14631,15.6082,314.997,19.8307,0.206614,0.585981,2.00091,6.35611,60.7646,0.41532,123.112,0.189451,27.6835,7.37909,3.15288,11.188,0.202487,0.883228,0.0304417,3.16014,1.6334,1.00764,4.23116,266.257
