ARDR,ARK,REP,BCH,BTC,BCC,BCN,ADA,DASH,DCR,EOS,ETC,ETH,GAS,GNT,MIOTA,KMD,LSK,LTC,MAID,XMR,XEM,NEO,OMG,PIVX,QTUM,XRP,STEEM,XLM,STRAT,PAY,USDT,WAVES,ZEC
0.18719,2.70714,18.9952,355.08,4320.53,138.678,0.00126102,0.0213159,304.497,30.2743,0.598385,11.9594,294.988,29.6013,0.231556,0.541104,1.94553,5.39378,51.538,0.446435,91.543,0.212059,32.5589,8.75079,3.33019,11.8324,0.236457,1.16925,0.0149423,3.55068,2.11921,1.00057,4.94799,254.559
0.18719,2.70714,18.9952,355.08,4320.53,138.678,0.00126102,0.0213159,304.497,30.2743,0.598385,11.9594,294.988,29.6013,0.231556,0.541104,1.94553,5.39378,51.538,0.446435,91.543,0.212059,32.5589,8.75079,3.33019,11.8324,0.236457,1.16925,0.0149423,3.55068,2.11921,1.00057,4.94799,254.559
0.18719,2.70714,18.9952,355.08,4320.53,138.678,0.00126102,0.0213159,304.497,30.2743,0.598385,11.9594,294.988,29.6013,0.231556,0.541104,1.94553,5.39378,51.538,0.446435,91.543,0.212059,32.5589,8.75079,3.33019,11.8324,0.236457,1.16925,0.0149423,3.55068,2.11921,1.00057,4.94799,254.559
0.18719,2.70714,18.9952,355.08,4320.53,138.678,0.00126102,0.0213159,304.497,30.2743,0.598385,11.9594,294.988,29.6013,0.231556,0.541104,1.94553,5.39378,51.538,0.446435,91.543,0.212059,32.5589,8.75079,3.33019,11.8324,0.236457,1.16925,0.0149423,3.55068,2.11921,1.00057,4.94799,254.559
0.194376,2.53349,18.8797,355.41,4325.6,138.678,0.00126102,0.020755,304.363,29.9617,0.598179,11.9719,295.111,29.6013,0.232842,0.541104,1.94418,5.38902,51.5305,0.447076,91.5014,0.210891,32.4477,8.72417,3.28618,11.7969,0.236034,1.17043,0.0151397,3.59338,2.17651,0.999802,4.95685,256.555
0.198353,2.59871,19.0159,355.41,4325.6,140.643,0.00127356,0.020755,306.241,30.1605,0.598179,12.1311,296.682,29.6013,0.23699,0.541104,1.98933,5.41384,51.7552,0.453097,91.6744,0.210891,32.487,8.72417,3.32344,11.7969,0.23511,1.19428,0.0156173,3.68132,2.17651,1.00641,5.02165,268.037
0.198353,2.59871,19.0159,355.41,4325.6,140.643,0.00127356,0.020755,306.241,30.1605,0.598179,12.1311,296.682,29.6013,0.23699,0.541104,1.98933,5.41384,51.7552,0.453097,91.6744,0.210891,32.487,8.72417,3.32344,11.7969,0.23511,1.19428,0.0156173,3.68132,2.17651,1.00641,5.02165,268.037
0.198472,2.60878,18.8915,358.521,4334.36,139.272,0.00126386,0.0207427,304.446,29.8578,0.59477,12.1121,294.948,29.1903,0.234962,0.551202,1.9704,5.36014,51.6074,0.448116,91.2208,0.211557,32.3022,8.67782,3.29013,11.8015,0.234909,1.17372,0.0155362,3.64339,2.19298,0.999961,4.96762,268.996
0.198595,2.6067,18.7995,359.53,4333.49,139.13,0.00125738,0.0207264,304.532,29.8344,0.596108,12.1114,295.346,29.4809,0.234684,0.550147,1.99045,5.38021,51.5767,0.453291,91.2175,0.212169,32.308,8.65846,3.28757,11.792,0.234475,1.17288,0.0155631,3.63372,2.20168,0.999721,4.97999,269.88
0.198595,2.6067,18.7995,359.53,4333.49,139.13,0.00125738,0.0207264,304.532,29.8344,0.596108,12.1114,295.346,29.4809,0.234684,0.550147,1.99045,5.38021,51.5767,0.453291,91.2175,0.212169,32.308,8.65846,3.28757,11.792,0.234475,1.17288,0.0155631,3.63372,2.20168,0.999721,4.97999,269.88
